T,optimal_P_max,min_error,S_ref
1000,2329951.810515372,0.0032536934901415,0.3837580555763006
10000,10985411.419875572,0.1432017618038955,-0.965348189957804
100000,14563484.775012445,0.0003011830005079,0.4415806941763214
1000000,59636233.165946364,0.0002552828944433,0.4913678844069176
10000000,14563484.775012445,0.001039372812936,-0.2057182289837741
