T_idx,T,P_max,S_ref,S_euler,error,improvement,computation_time
0,100.21626824161686,100,-0.0976976233728395,0.0039840051184893,0.1016816284913288,-4.080657468246182,0.0
1,100.43300420275716,100,-0.1932659424822199,-0.1136788032139636,0.0795871392682562,58.83998661562929,0.0
2,100.65020889494944,100,-0.2891156276066584,-0.2088502036658568,0.0802654239408015,72.25407049185132,0.0
3,100.86788333191036,100,-0.38524744876258,-0.2432231874186241,0.1420242613439558,63.14505196788897,0.0
4,101.08602852954844,100,-0.4816621779807956,-0.193225859461312,0.2884363185194836,40.12193385283366,0.0
5,101.30464550596972,100,-0.5783605893120435,-0.0696189421447528,0.5087416471672906,12.03865270945342,0.0
6,101.52373528148168,100,0.3246565411683028,0.0788996860391953,0.2457568551291074,24.29762069102012,0.0
7,101.7432988785987,100,0.2273884353547449,0.1844792216155411,0.0429092137392037,81.10630486268857,0.0
8,101.96333732204654,100,0.1298343131066462,0.1917584466976825,0.0619241335910363,52.3792112583164,0.0
9,102.1838516387668,100,0.031993392243236,0.084056334458373,0.052062942215137,-62.19843512626224,0.0
10,102.40484285792246,100,-0.0661351114619367,-0.1094497888390072,0.0433146773770705,34.343570969996115,0.0
11,102.6263120109018,100,-0.1645519842857639,-0.3262066378402787,0.1616546535545148,1.6828617727993176,0.0
12,102.84826013132412,100,-0.2632580145612109,-0.493233378952455,0.2299753643912441,12.59669740763372,0.0
13,103.07068825504368,100,-0.3622539926821113,-0.5508774644875172,0.1886234718054059,47.90358882674902,0.0
14,103.29359742015524,100,-0.4615407111087473,-0.4728418141106403,0.011301103001893,97.53718701657334,0.0
15,103.51698866699874,100,-0.5611189643729587,-0.2801046379492432,0.2810143264237155,49.92463958528399,0.0
16,103.74086303816358,100,0.3390104509167918,-0.0425052861972867,0.3815157371140785,-12.535682254039388,0.0
17,103.96522157849448,100,0.2388467360697556,0.1412657317411804,0.0975810043285751,59.12913785043763,0.0
18,104.19006533509535,100,0.1383890903080625,0.1870604726621866,0.0486713823541241,64.89218276355123,0.0
19,104.41539535733516,100,0.0376367107609833,0.0754827529038906,0.0378460421429073,-0.2183277552604078,0.0
20,104.64121269685177,100,-0.0634112075399339,-0.1231806543295647,0.0597694467896308,5.548750942714723,0.0
21,104.8675184075578,100,-0.1647554716665559,-0.2760708777071194,0.1113154060405635,32.371648846489244,0.0
22,105.09431354564518,100,-0.2663968907993428,-0.2628351812915814,0.0035617095077614,98.68638180551036,0.0
23,105.32159916958966,100,-0.3683362762325546,-0.0564117490819107,0.3119245271506438,15.317903100672575,0.0
24,105.5493763401566,100,0.5294255586200625,0.2475329667972719,0.2818925918227906,46.74946097018347,0.0
25,105.77764612040504,100,0.4268877982202954,0.482414925922819,0.0555271277025236,87.00916473078034,0.0
26,106.00640957569344,100,0.3240496248996714,0.5176275600187746,0.1935779351191032,40.29370439876164,0.0
27,106.23566777368396,100,0.2209102188544604,0.349324404386109,0.1284141855316486,41.91508852397801,0.0
28,106.46542178434804,100,0.1174687581399157,0.107690499578463,0.0097782585614526,91.6272792229875,0.0
29,106.69567267997115,100,0.0137244186650039,-0.0304834549387051,0.044207873603709,-221.10975069777248,0.0
30,106.92642153515742,100,-0.0903236258128916,0.0350531848774398,0.1253768106903314,-38.835099648690914,0.0
31,107.15766942683544,100,-0.1946762036937706,0.2582366069658662,0.4529128106596368,-132.69147365967004,0.0
32,107.38941743426248,100,0.7006658544599206,0.482589930945775,0.2180759235141455,68.86983281900821,0.0
33,107.62166663903028,100,0.5957017159174015,0.5563004883262926,0.0394012275911088,93.37608680437476,0.0
34,107.85441812506926,100,0.4904305457744699,0.4395505741414307,0.0508799716330391,89.6142130884798,0.0
35,108.08767297865444,100,0.3848515069476415,0.2238246662505341,0.1610268406971073,58.149438383509555,0.0
36,108.32143228841008,100,0.2789637601687951,0.0526945192156397,0.2262692409531553,18.885233535403884,0.0
37,108.55569714531444,100,0.1727664639797577,0.0107011751541059,0.1620652888256517,6.191822432036969,0.0
38,108.79046864270563,100,0.0662587747264299,0.0685445345511805,0.0022857598247506,96.6453372768972,0.0
39,109.02574787628598,100,-0.0405601534463692,0.1219206638410697,0.1624808172874389,-301.04366774991445,0.0
40,109.26153594412764,100,-0.1476911686008461,0.0824769544381328,0.2301681230389789,-55.86716055821761,0.0
41,109.4978339466777,100,-0.2551351210116825,-0.0593987362340921,0.1957363847775903,23.28681332832352,0.0
42,109.73464298676274,100,-0.3628928631714487,-0.2470064096136719,0.1158864535577767,68.07726884884173,0.0
43,109.97196416959488,100,-0.4709652497966069,-0.4199991073071244,0.0509661424894825,89.18978425184999,0.0
44,110.209798602776,100,-0.5793531378327221,-0.5595191947520555,0.0198339430806666,96.58656798211004,0.0
45,110.4481473963038,100,-0.6880573864605098,-0.6737929260166756,0.0142644604438342,97.93539627546278,0.0
46,110.6870116625762,100,-0.7970788571011093,-0.7489635329061803,0.0481153241949289,93.97060604037443,0.0
47,110.9263925163971,100,-0.9064184134220912,-0.7291868546744185,0.1772315587476727,80.45235407011265,0.0
48,111.16629107498146,100,-0.0160769213430076,-0.5596825683339931,0.5436056469909855,-3294.2449792943153,0.0
49,111.40670845796,100,-0.1260552490409125,-0.2554775535135891,0.1294223044726766,-2.7668442793834096,0.0
50,111.64764578738536,100,-0.2363542669564676,0.0787990046178556,0.3151532715743232,-33.34774237305535,0.0
51,111.88910418773638,100,0.6530251522007471,0.3119445968728691,0.3410805553278779,47.76481983624168,0.0
52,112.13108478592416,100,0.5420821334460951,0.3822987179641948,0.1597834154819002,70.516438490688,0.0
