P_max,n_primes,T,T_idx,S_approx,S_ref,error_S,rel_error_S,N_approx,N_ref,error_N,error_smooth,improvement,time_ms
100,25,100.0,0,0.11031388719148802,-0.0024099022718167,0.11272378946330472,4677.5253412383445,29.112657474516837,29,0.11265747451683694,0.002343587325349006,-4707.05255990664,3.5898685455322266
100,25,124.1145468943691,1,0.24948167598679988,-0.0526081147436789,0.30208979073047876,574.2266040179213,40.30203636040147,40,0.3020363604014733,0.05255468441467315,-474.70873199106387,0.06580352783203125
100,25,294.5190769508315,2,-0.37330458269573263,-0.3476525069644657,0.025652075731266932,7.378654034526748,133.97432540803487,134,0.025674591965128002,0.34762999073060996,92.61439097611573,0.03147125244140625
100,25,867.4148668796988,3,0.21216074672068733,-0.0989633716843822,0.31112411840506954,314.3831026668317,543.3111164733245,543,0.31111647332454595,0.09895572660389007,-214.3996653876478,0.032901763916015625
100,25,7395.165672598326,4,0.041455186723473515,0.0441366995286279,0.0026815128051543846,6.075471962771264,7145.997317590466,7146,0.002682409533917962,0.044137596257314726,93.9226198040329,0.03337860107421875
100,25,294187.83250721806,5,-0.11815895957033296,0.1978798282030371,0.31603878777337,159.71248340133712,456701.6839611897,456702,0.3160388102987781,0.19787985074799508,-59.712476588261346,0.032901763916015625
100,25,1511531.4462892578,6,0.32226193262558667,-0.0621446757586852,0.3844066083842719,618.5672444039553,2740249.384406605,2740249,0.3844066048040986,0.06214467203244567,-518.567275732665,0.030994415283203125
100,25,3139939.9798384504,7,-0.6223890744763559,0.9580448740462444,1.5804339485226002,164.9645012814205,6057730.41956605,6057730,0.4195660501718521,1.0419551245868206,59.73280995779662,0.030040740966796875
100,25,4808843.628725745,8,-0.7458529124106587,0.853499704118016,1.5993526165286747,187.38760058287346,9603696.400647385,9603696,0.40064738504588604,1.1465002968907356,65.05475086814837,0.028371810913085938
157,36,100.0,0,0.1259634452240195,-0.0024099022718167,0.1283733474958362,5326.910929008844,29.12830703254937,29,0.12830703254936893,0.002343587325349006,-5374.813383805168,0.07081031799316406
157,36,124.1145468943691,1,0.18531976628494073,-0.0526081147436789,0.23792788102861964,452.26460250071545,40.237874450699614,40,0.23787445069961421,0.05255468441467315,-352.6227363915066,0.03933906555175781
157,36,294.5190769508315,2,-0.43485048728948805,-0.3476525069644657,0.08719798032502235,25.08193629506461,133.91277950344113,134,0.08722049655887076,0.34762999073060996,74.90996206180012,0.057697296142578125
157,36,867.4148668796988,3,0.2583633658810524,-0.0989633716843822,0.3573267375654346,361.0696881923494,543.3573190924849,543,0.3573190924848859,0.09895572660389007,-261.08985780600517,0.03528594970703125
157,36,7395.165672598326,4,0.14257538535874803,0.0441366995286279,0.09843868583012014,223.03137045005127,7146.098437789102,7146,0.09843778910180845,0.044137596257314726,-123.02480753127736,0.03457069396972656
157,36,294187.83250721806,5,-0.02288862223348927,0.1978798282030371,0.22076845043652638,111.56693051603224,456701.779231527,456702,0.22076847299467772,0.19787985074799508,-11.5669292048496,0.031948089599609375
157,36,1511531.4462892578,6,0.4167063132278295,-0.0621446757586852,0.4788509889865147,770.5422598807131,2740249.4788509854,2740249,0.4788509854115546,0.06214467203244567,-670.5423003303437,0.03409385681152344
157,36,3139939.9798384504,7,-0.7878133048477894,0.9580448740462444,1.745858178894034,182.2313574436767,6057730.25414182,6057730,0.2541418196633458,1.0419551245868206,75.60913961970063,0.031232833862304688
157,36,4808843.628725745,8,-0.8127426404541772,0.853499704118016,1.6662423445721932,195.224712619443,9603696.333757656,9603696,0.33375765569508076,1.1465002968907356,70.8890039889027,0.03910064697265625
247,53,100.0,0,0.0714478153685646,-0.0024099022718167,0.07385771764038129,3064.759866162697,29.073791402693914,29,0.07379140269391371,0.002343587325349006,-3048.6517227568947,0.05221366882324219
247,53,124.1145468943691,1,0.2547370954162895,-0.0526081147436789,0.3073452101599684,584.2163545632422,40.30729177983096,40,0.3072917798309618,0.05255468441467315,-484.70863873205303,0.045299530029296875
