T,T_idx,category,P_min_needed,imp_100,imp_1k,imp_10k,imp_100k,imp_max,dist_raw,dist_normalized,abs_S,zero_density,spacing_var
100.21626824161686,0,very_hard,1000000.0,-4.080657468246182,-118.43625261889896,-64.64065920063788,-31.833805651908477,76.06308065115861,1.101582764114525,0.4855470682231789,0.0976976233728395,43,0.1290736470492281
100.43300420275716,1,very_hard,1000000.0,58.83998661562929,8.20260475924711,-9.211040482681456,-32.564893467383484,58.83998661562929,0.8848468029742236,0.39032011670086353,0.1932659424822199,43,0.1290736470492281
100.65020889494944,2,very_hard,1000000.0,72.25407049185132,64.2564812070538,47.994015981783754,71.14275683462591,94.3266358243094,0.6676421107819408,0.29473719860774455,0.2891156276066584,43,0.1290736470492281
100.86788333191036,3,easy,1000.0,63.14505196788897,82.55319715682364,82.57511724159752,60.25475240521172,82.57511724159752,0.4499676738210212,0.19879738258875534,0.38524744876258,43,0.1290736470492281
101.08602852954844,4,medium,10000.0,40.12193385283366,68.89657592931226,85.69810232990596,98.45234017681119,98.45234017681119,0.23182247618294127,0.10249973492551552,0.4816621779807956,44,0.13887888495399545
101.30464550596972,5,very_hard,1000000.0,12.03865270945342,22.976450435796462,24.79266124276559,29.728284952681715,29.728284952681715,0.013205499761667738,0.005843319530066648,0.5783605893120435,44,0.13887888495399545
101.52373528148168,6,medium,10000.0,24.297620691020118,63.03291115077955,94.95942715096444,51.26730856110508,94.95942715096444,0.205884275750293,0.09117280206065514,0.3246565411683028,44,0.13887888495399545
101.7432988785987,7,ultra_easy,100.0,81.10630486268857,33.614365156066945,44.2019845888989,71.91020248424145,81.10630486268857,0.42544787286730923,0.18854957069100334,0.2273884353547449,44,0.13887888495399545
101.96333732204654,8,hard,100000.0,52.379211258316396,48.470431331377654,16.436452771872766,92.95681760871575,92.95681760871575,0.6454863163151572,0.2862879295924256,0.1298343131066462,44,0.13887888495399545
102.1838516387668,9,very_hard,1000000.0,-62.19843512626224,-391.3204034417225,-97.39205699939885,36.721926596014704,36.721926596014704,0.8660006330354122,0.38438882438921435,0.031993392243236,44,0.13887888495399545
102.40484285792246,10,very_hard,1000000.0,34.343570969996115,-182.85040933690124,69.29291491459547,-206.88868427201888,69.29291491459547,1.0869918521910762,0.48285320310481644,0.0661351114619367,44,0.13887888495399545
102.6263120109018,11,hard,100000.0,1.6828617727993176,69.06941117408869,-29.61700672439892,94.80858191802942,94.80858191802942,1.099226029576542,0.48866570007139487,0.1645519842857639,44,0.13887888495399545
102.84826013132412,12,easy,1000.0,12.59669740763372,83.83463387898887,42.114884684057174,2.6885500391102752,93.85715870584106,0.8772779091542162,0.39029933469519157,0.2632580145612109,44,0.13887888495399545
103.07068825504368,13,medium,10000.0,47.90358882674902,49.97781689855316,97.6823996482216,91.96422114257345,97.6823996482216,0.6548497854346635,0.29156662687700347,0.3622539926821113,44,0.13619440477435435
103.29359742015524,14,ultra_easy,100.0,97.53718701657334,69.25809634832575,77.80537862506901,95.59911026654788,97.53718701657334,0.431940620323104,0.1924666189380037,0.4615407111087473,44,0.13619440477435435
103.51698866699874,15,medium,10000.0,49.92463958528399,59.60335320685866,89.37717265681839,89.68241634463726,89.68241634463726,0.2085493734795989,0.09299835077047038,0.5611189643729587,44,0.13619440477435435
103.74086303816358,16,very_hard,1000000.0,-12.535682254039388,2.180733694391057,2.7499670047750295,20.550072784159877,74.1319124917123,0.01532499768524076,0.006839140167988938,0.3390104509167918,44,0.13619440477435435
103.96522157849448,17,medium,10000.0,59.12913785043763,67.22988840786913,80.60611445322729,85.19577017817923,85.19577017817923,0.23968353801613773,0.1070468188609312,0.2388467360697556,44,0.13619440477435435
104.19006533509535,18,easy,1000.0,64.89218276355123,81.56543935561288,81.33137037911548,86.01209781546295,86.01209781546295,0.4645272946170138,0.20762565273868314,0.1383890903080625,44,0.13619440477435435
104.41539535733516,19,very_hard,1000000.0,-0.2183277552604078,-92.80196497703103,11.905667315955396,42.01715647129165,42.01715647129165,0.6898573168568163,0.3085766116848317,0.0376367107609833,44,0.13619440477435435
104.64121269685177,20,easy,1000.0,5.548750942714723,99.654464356431,70.45193391096966,24.683247742432158,99.654464356431,0.8054103554743222,0.36054098522753736,0.0634112075399339,44,0.13619440477435435
104.8675184075578,21,medium,10000.0,32.371648846489244,4.985386690022362,82.33169811375271,84.38142791684375,84.38142791684375,0.579104644768293,0.25943461719649114,0.1647554716665559,44,0.13619440477435435
105.09431354564518,22,ultra_easy,100.0,98.68638180551035,60.78056881563104,63.50834791263368,41.2971609580745,98.68638180551035,0.35230950668091054,0.15795319966740662,0.2663968907993428,44,0.13619440477435435
105.32159916958966,23,very_hard,1000000.0,15.317903100672577,13.997245545579545,57.27049402441576,50.62216140408368,70.21317416748603,0.1250238827364285,0.056095752883719444,0.3683362762325546,44,0.13619440477435435
105.5493763401566,24,medium,10000.0,46.74946097018347,68.76327279036003,78.32091544986449,83.59541935408757,83.59541935408757,0.10275328783050952,0.046138705394967255,0.5294255586200625,44,0.13619440477435435
105.77764612040504,25,ultra_easy,100.0,87.00916473078034,77.29332619973165,41.80684337531835,54.209321273768815,90.79203304172712,0.33102306807894877,0.14875115989865226,0.4268877982202954,44,0.13619440477435435
106.00640957569344,26,medium,10000.0,40.29370439876164,65.82526975513065,96.80402478003963,95.49088431875414,96.80402478003963,0.5597865233673502,0.2517425978534549,0.3240496248996714,44,0.13619440477435435
