T,T_idx,P_max,n_primes,S_approx,S_ref,error_S,N_approx,N_ref,error_smooth,error_prime,improvement
100.21626824161686,0,100,25,0.003984005118489308,-0.0976976233728395,0.10168162849132882,29.101615456655193,29,0.09763145153670294,0.10161545665519256,-4.080657468246182
100.43300420275716,1,100,25,-0.11367880321396362,-0.1932659424822199,0.07958713926825628,29.079521110233618,29,0.19319991344758236,0.07952111023361752,58.83998661562929
100.65020889494944,2,100,25,-0.20885020366585685,-0.2891156276066584,0.08026542394080152,29.080199537399473,29,0.2890497410653303,0.08019953739947283,72.25407049185132
100.86788333191036,3,100,25,-0.24322318741862411,-0.38524744876258,0.14202426134395588,29.141958516988414,29,0.3851817044070387,0.14195851698841366,63.14505196788897
101.08602852954844,4,100,25,-0.193225859461312,-0.4816621779807956,0.2884363185194836,29.2883707160429,29,0.4815965755042093,0.2883707160428983,40.12193385283366
101.30464550596972,5,100,25,-0.06961894214475282,-0.5783605893120435,0.5087416471672906,29.508676186263468,29,0.5782951284082216,0.5086761862634681,12.03865270945342
101.52373528148168,6,100,25,0.07889968603919535,0.3246565411683028,0.24575685512910744,29.754177825234297,30,0.3247218608048996,0.24582217476570278,24.297620691020118
101.7432988785987,7,100,25,0.18447922161554114,0.2273884353547449,0.042909213739203755,29.95702560758657,30,0.22745361402897046,0.042974392413430706,81.10630486268857
101.96333732204654,8,100,25,0.19175844669768252,0.1298343131066462,0.06192413359103632,30.061859095574967,30,0.12989935112271667,0.061859095574966716,52.379211258316396
102.1838516387668,9,100,25,0.08405633445837306,0.031993392243236,0.052062942215137055,30.05199804455367,30,0.03205828990470394,0.0519980445536703,-62.19843512626224
102.40484285792246,10,100,25,-0.10944978883900726,-0.0661351114619367,0.043314677377070565,29.95662056501317,30,0.06607035385217941,0.04337943498682861,34.343570969996115
102.6263120109018,11,100,25,-0.32620663784027876,-0.1645519842857639,0.16165465355451486,29.83828072858519,30,0.1644873664254689,0.16171927141481035,1.6828617727993176
102.84826013132412,12,100,25,-0.493233378952455,-0.2632580145612109,0.2299753643912441,29.76996015719633,30,0.2631935361487834,0.23003984280367007,12.59669740763372
103.07068825504368,13,100,25,-0.5508774644875172,-0.3622539926821113,0.1886234718054059,29.811312188929104,30,0.3621896534166211,0.1886878110708956,47.90358882674902
103.29359742015524,14,100,25,-0.4728418141106403,-0.4615407111087473,0.01130110300189302,29.988634696579265,30,0.4614765106899057,0.011365303420735273,97.53718701657334
103.51698866699874,15,100,25,-0.28010463794924323,-0.5611189643729587,0.2810143264237155,30.280950264551862,30,0.5610549025011053,0.280950264551862,49.92463958528399
103.74086303816358,16,100,25,-0.04250528619728679,0.3390104509167918,0.38151573711407855,30.61842033926207,31,0.33907437454064393,0.3815796607379305,-12.535682254039388
103.96522157849448,17,100,25,0.14126573174118048,0.2388467360697556,0.09758100432857511,30.90235520999723,31,0.23891052174395355,0.09764479000277149,59.12913785043763
104.19006533509535,18,100,25,0.18706047266218664,0.1383890903080625,0.04867138235412413,31.048607734331867,31,0.13845273833031868,0.048607734331866936,64.89218276355123
104.41539535733516,19,100,25,0.07548275290389066,0.0376367107609833,0.037846042142907356,31.037782531475532,31,0.03770022142835927,0.03778253147553201,-0.2183277552604078
104.64121269685177,20,100,25,-0.12318065432956478,-0.0634112075399339,0.05976944678963088,30.940167179601435,31,0.06334783393100096,0.05983282039856519,5.548750942714723
104.8675184075578,21,100,25,-0.27607087770711947,-0.1647554716665559,0.11131540604056356,30.88862135711317,31,0.16469223482028994,0.11137864288683019,32.371648846489244
105.09431354564518,22,100,25,-0.2628351812915814,-0.2663968907993428,0.0035617095077614125,31.00349860912904,31,0.2663337904206209,0.0034986091290392096,98.68638180551035
105.32159916958966,23,100,25,-0.05641174908191079,-0.3683362762325546,0.31192452715064384,31.311861562944937,31,0.3682733120268473,0.3118615629449373,15.317903100672577
105.5493763401566,24,100,25,0.2475329667972719,0.5294255586200625,0.2818925918227906,31.718044579850634,32,0.5294883869466389,0.2819554201493659,46.74946097018347
105.77764612040504,25,100,25,0.482414925922819,0.4268877982202954,0.055527127702523604,32.05546443496186,32,0.4269504909609587,0.05546443496186271,87.00916473078034
106.00640957569344,26,100,25,0.5176275600187746,0.3240496248996714,0.19357793511910326,32.193515377671744,32,0.324112182347033,0.1935153776717442,40.29370439876164
106.23566777368396,27,100,25,0.349324404386109,0.2209102188544604,0.1284141855316486,32.12835176308562,32,0.22097264130049155,0.12835176308561813,41.91508852397801
106.46542178434804,28,100,25,0.10769049957846302,0.1174687581399157,0.009778258561452674,31.990159453702503,32,0.11753104587596042,0.009840546297496644,91.6272792229875
106.69567267997115,29,100,25,-0.030483454938705152,0.0137244186650039,0.04420787360370905,31.955729973079507,32,0.013786571981789564,0.04427002692049342,-221.10975069777248
106.92642153515742,30,100,25,0.035053184877439844,-0.0903236258128916,0.12537681069033146,32.12531479150273,32,0.09026160662529037,0.12531479150273128,-38.835099648690914
107.15766942683544,31,100,25,0.25823660696586626,-0.1946762036937706,0.45291281065963684,32.45285092531174,32,0.19461431834587728,0.4528509253117434,-132.69147365967004
107.38941743426248,32,100,25,0.48258993094577507,0.7006658544599206,0.2180759235141455,32.78186232468886,33,0.700727606256919,0.2181376753111408,68.86983281900821
107.62166663903028,33,100,25,0.5563004883262926,0.5957017159174015,0.03940122759110887,32.960537153874554,33,0.595763334451739,0.039462846125445594,93.37608680437476
107.85441812506926,34,100,25,0.4395505741414307,0.4904305457744699,0.050879971633039145,32.94905854280769,33,0.4904920313337371,0.0509414571923088,89.6142130884798
