P_max,n_points,mean_error,std_error,min_error,max_error,mean_improvement,max_improvement,times_optimal
100,599,0.18957970765250132,0.17083440673133307,6.670654335066972e-05,1.613856152106023,0.0,0.0,97
1000,599,0.16262575362224965,0.15972601325436328,0.0001555157367269,1.728094601034002,-140.14404388668277,99.7398073010877,77
10000,599,0.14560174956196106,0.15313596002505456,0.0004441360768288,1.7574254407170304,-339.3954918170055,99.76271443414836,101
100000,599,0.13440469878766875,0.14411647329121044,0.000536562168468,1.6712926699050374,-563.154153853208,99.73827202584606,108
1000000,599,0.13992759906781502,0.14422584676582448,0.0004218325568648,1.721277359577324,-679.6322338483425,99.84108453525457,116
10000000,599,0.20669858896406015,0.19418909909170118,0.0002055510818739,1.693240311423367,-557.6477227857175,99.80991132489018,100
