T,S_RS,S_euler_opt,S_euler_fixed,error_RS,error_euler_opt,error_euler_fixed,time_RS,time_euler_opt,time_euler_fixed,improvement
1000,-0.40119426966793276,,,0.0,,,2.9802322387695312e-05,2.5031888484954834,4.033983945846558,0.0
10000,0.491910894869424,0.7671056145025186,0.0,0.0,0.27519471963309455,0.491910894869424,6.008148193359375e-05,0.9611029624938965,4.161128044128418,44.05598198711496
100000,-0.4870575990755473,,,0.0,,,4.291534423828125e-05,0.31722402572631836,4.074758052825928,0.0
